"code","description","season_start","season_end","time_max_parking","time_start","time_end","time_duration","lun","mar","mer","jeu","ven","sam","dim","daily","special_days","restrict_typ"
"SLR-ST-80","LUN 17H À MAR 17H - MER 17H À JEU 17H - VEN 17H À SAM 17H",,,,17,,24,,,1,,,,,,,
"SLR-ST-81","LUN 18H À MAR 18H - MER 18H À JEU 18H - VEN 18H À SAM 18H",,,,18,,24,1,,,,,,,,,
"SLR-ST-81","LUN 18H À MAR 18H - MER 18H À JEU 18H - VEN 18H À SAM 18H",,,,18,,24,,,,,1,,,,,
"SLR-ST-81","LUN 18H À MAR 18H - MER 18H À JEU 18H - VEN 18H À SAM 18H",,,,18,,24,,,1,,,,,,,
"SLR-ST-82","LUN MER VEN 8H À 12H - MAR JEU 13H À 17H",,,,8,12,4,1,,1,,1,,,,,
"SLR-ST-82","LUN MER VEN 8H À 12H - MAR JEU 13H À 17H",,,,13,17,4,,1,,1,,,,,,
"SLR-ST-84","LUN MER VEN 8H À 12H - MAR JEU 14H À 17H",,,,8,12,4,1,,1,,1,,,,,
"SLR-ST-84","LUN MER VEN 8H À 12H - MAR JEU 14H À 17H",,,,14,17,3,,1,,1,,,,,,
"SLR-ST-89","8H À 17H MAR JEU",,,,8,17,9,,1,,1,,,,,,
"SLR-ST-93","8H À 18H MAR JEU",,,,8,18,10,,1,,1,,,,,,
"SB-AA","\P 07h-09h LUNDI JEUDI 1 MARS AU 1 DEC.",01-03,12-01,,7,9,2,1,,,1,,,,,,
"SB-AA-A","\P 07h-09h LUNDI JEUDI 1 AVRIL AU 1 DEC.",01-04,12-01,,7,9,2,1,,,1,,,,,,
"SB-AB","\P 06h30-07h30 MAR. VEN. 1 MARS AU 1 DEC.",03-01,12-01,,"6.5","7.5",1,,1,,,1,,,,,
"SB-AB-A","\P 06h30-07h30 MAR. VEN. 1 AVRIL AU 1 DEC.",04-01,12-01,,"6.5","7.5",1,,1,,,1,,,,,
"SB-AC","\P 09h-12h MAR. VEN.",,,,9,12,3,,1,,,1,,,,,
"SB-AE","\P 06h30-07h30 LUN. JEU. 1 MARS AU 1 DEC.",03-01,12-01,,"6.5","7.5",1,1,,,1,,,,,,
"SB-AE-A","\P 06h30-07h30 LUN. JEU. 1 AVIL AU 1 DEC.",04-01,12-01,,"6.5","7.5",1,1,,,1,,,,,,
"SB-AF","\P 09h-12h LUN. JEU. 1 MARS AU 1 DEC.",03-01,12-01,,9,12,3,1,,,1,,,,,,
"SB-AF-A","\P 09h-12h LUN. JEU. 1 AVRILAU 1 DEC.",04-01,12-01,,9,12,3,1,,,1,,,,,,
"SB-AG","\P 08h-11h LUN. JEU. 1 MARS AU 1 DEC.",03-01,12-01,,8,11,3,1,,,1,,,,,,
"SB-AH","\P 08h-11h MAR. VEN. 1MARS AU 1 DEC.",03-01,12-01,,8,11,3,,1,,,1,,,,,
"SB-AH-A","\P 08h-11h MAR. VEN. 1AVRIL AU 1 DEC.",04-01,12-01,,8,11,3,,1,,,1,,,,,
"SB-AI","\P 07h-09h MAR. ET VEN. 1er MARS AU 1er DEC.",03-01,12-01,,7,9,2,,1,,,1,,,,,
"SB-AI-A","\P 07h-09h MAR. ET VEN. 1er AVRIL AU 1er DEC.",04-01,12-01,,7,9,2,,1,,,1,,,,,
"SB-AJ","\P 09h-12h LUNDI VENDREDI",,,,9,12,3,1,,,,1,,,,,
"SB-AM","\P 09h-10h LUNDI, JEUDI",,,,9,10,1,1,,,1,,,,,,
"SB-AN","\P 10h-11h LUNDI, JEUDI",,,,10,11,1,1,,,1,,,,,,
"SB-AP","\P 09h30-10h30 LUNDI, JEUDI",,,,"9.5","10.5",1,1,,,1,,,,,,
"SB-AS","\P 07h-09h MAR. JEU. 1 MARS AU 1 DEC.",03-01,12-01,,7,9,2,,1,,1,,,,,,
"SB-AS-A","\P 07h-09h MAR. JEU. 1 AVRIL AU 1 DEC.",04-01,12-01,,7,9,2,,1,,1,,,,,,
