name,operator,address,description,lun_normal,mar_normal,mer_normal,jeu_normal,ven_normal,sam_normal,dim_normal,hourly_normal,daily_normal,max_normal,lun_special,mar_special,mer_special,jeu_special,ven_special,sam_special,dim_special,hourly_special,daily_special,max_special,lun_free,mar_free,mer_free,jeu_free,ven_free,sam_free,dim_free,indoor,handicap,card,valet,lat,long,capacity,street_view_lat,street_view_long,street_view_head,active
Centre Bell,Vinci,"1255, rue Saint-Antoine Ouest",,"0,24","0,24","0,24","0,24","0,24",,,12,12,,,,,,,"0,24","0,24",,12,,,,,,,,,TRUE,TRUE,FALSE,TRUE,45.495865,-73.568455,600,45.495865,-73.568455,0,TRUE
Centre de Commerce Mondial,Vinci,"747, rue du Square-Victoria",,"0,24","0,24","0,24","0,24","0,24","0,24","0,24",10.5,24,,,,,,,,,,,,,,,,,,,TRUE,FALSE,TRUE,FALSE,45.5024,-73.560879,573,45.5024,-73.560879,0,TRUE
Cité internationale,Vinci,"629, rue Saint-Antoine Ouest ",,"0,24","0,24","0,24","0,24","0,24","0,24","0,24",8,19,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,45.500935,-73.562521,360,45.500935,-73.562521,0,TRUE
Complexe Desjardins,Vinci,"185, rue Sainte-Catherine Ouest",,"0,24","0,24","0,24","0,24","0,24",,,9,20,,,,,,,"0,24","0,24",9,10,,,,,,,,,TRUE,TRUE,TRUE,FALSE,45.508082,-73.564048,1050,45.508082,-73.564048,0,TRUE
Concordia L-B Garage,Vinci,"1455, boulevard De Maisonneuve Ouest",,"0,24","0,24","0,24","0,24","0,24",,,5.5,13.25,,,,,,,"0,24","0,24",5.5,6.75,,,,,,,,,TRUE,TRUE,TRUE,FALSE,45.496392,-73.577932,200,45.496392,-73.577932,0,TRUE
Dominion Square,Vinci,"1199, rue Peel",,"0,24","0,24","0,24","0,24","0,24","0,24","0,24",9,23,,,,,,,"0,24","0,24",9,16,,,,,,,,,TRUE,FALSE,TRUE,TRUE,45.499628,-73.571707,465,45.499628,-73.571707,0,TRUE
Faubourg Ste Catherine,Vinci,"1250, rue Guy",,"0,24","0,24","0,24","0,24","0,24",,,7,13.25,,,,,,,"0,24","0,24",6.75,6.75,,,,,,,,,TRUE,FALSE,TRUE,FALSE,45.494659,-73.577378,260,45.494659,-73.577378,0,TRUE
Forum de Montréal,Vinci,"2313, rue Sainte-Catherine Ouest",,"0,24","0,24","0,24","0,24","0,24",,,6,20,,,,,,,"0,24","0,24",6,6,,,,,,,,,TRUE,TRUE,TRUE,TRUE,45.490289,-73.584233,200,45.490289,-73.584233,0,TRUE
Gare Centrale CN,Vinci,"904, rue Belmont",,"0,24","0,24","0,24","0,24","0,24",,,9.5,22,,,,,,,"0,24","0,24",9.5,10,,,,,,,,,TRUE,FALSE,TRUE,FALSE,45.50027,-73.566723,800,45.50027,-73.566723,0,TRUE
Gauvin,Vinci,"700, rue Saint-Jacques",,"0,24","0,24","0,24","0,24","0,24",,,12,14,,,,,,,"0,24","0,24",11,11,,,,,,,,,FALSE,FALSE,FALSE,FALSE,45.500204,-73.561001,85,45.500204,-73.561001,0,TRUE
Le Demetrius,Vinci,"1445, rue Stanley",,"0,24","0,24","0,24","0,24","0,24",,,11,19,,,,,,,"0,24","0,24",10,10,,,,,,,,,TRUE,FALSE,TRUE,TRUE,45.499902,-73.574521,79,45.499902,-73.574521,0,TRUE
Hit,Vinci,"930, rue William",,"0,24","0,24","0,24","0,24","0,24","0,24","0,24",10,10,,,,,,,,,,,,,,,,,,,FALSE,FALSE,TRUE,FALSE,45.49606,-73.559874,300,45.49606,-73.559874,0,TRUE
Hôpital Louis H. Lafontaine,Vinci,"7401, rue Hochelaga",,"0,24","0,24","0,24","0,24","0,24","0,24","0,24",5,5,,,,,,,,,,,,,,,,,,,FALSE,FALSE,TRUE,FALSE,45.588212,-73.528526,2500,45.588212,-73.528526,0,TRUE
Hôpital Maisonneuve Rosemont,Vinci,"5345, boulevard de l'Assomption",,"0,24","0,24","0,24","0,24","0,24","0,24","0,24",10,16.5,,,,,,,,,,,,,,,,,,,FALSE,TRUE,TRUE,FALSE,45.574281,-73.560587,2331,45.574281,-73.560587,0,TRUE
