code,description,season_start,season_end,time_max_parking,time_start,time_end,time_duration,lun,mar,mer,jeu,ven,sam,dim,daily,special_days,metered,restrict_typ,permit_no
PS-109C,2 HOUR METERED PARKING 8AM-8PM EXCEPT SUNDAY,,,120,8,20,12,1,1,1,1,1,1,,,,1,,
PS-109E,TRUCK  TRUCK LOADING ONLY MONDAY-FRIDAY 7AM-3PM,,,,7,15,8,1,1,1,1,1,,,,,,trucks,
PS-109EA,TRUCK  TRUCKS LOADING ONLY MONDAY-FRIDAY 7AM-3PM ,,,,7,15,8,1,1,1,1,1,,,,,,trucks,
PS-109G,NO STANDING MONDAY-FRIDAY 8AM-6PM,,,,8,18,10,1,1,1,1,1,,,,,,,
PS-109GA,NO STANDING MONDAY-FRIDAY 8AM-6PM ,,,,8,18,10,1,1,1,1,1,,,,,,,
PS-10B,NO PARKING  TUESDAY FRIDAY 8AM-9:30AM,,,,8,9.5,1.5,,1,,,1,,,,,,,
PS-10BA,NO PARKING  TUESDAY FRIDAY 8AM-9:30AM ,,,,8,9.5,1.5,,1,,,1,,,,,,,
PS-10C,3 HMP COMMERCIAL VEHICLES ONLY OTHERS NO STANDING 7AM-6PM EXCEPT SUNDAY,,,180,7,18,11,1,1,1,1,1,1,,,,1,permit,commercial
PS-10CA,3 HMP COMMERCIAL VEHICLES ONLY OTHERS NO STANDING 7AM-6PM EXCEPT SUNDAY ,,,180,7,18,11,1,1,1,1,1,1,,,,1,permit,commercial
PS-10E,TAXI HAILING  TAXI STAND,,,,0,24,24,,,,,,,,1,,,taxi,
PS-10EA,TAXI HAILING  TAXI STAND ,,,,0,24,24,,,,,,,,1,,,taxi,
PS-10F,3 HMP COMMERCIAL VEHICLES ONLY OTHERS NO STANDING MONDAY-FRIDAY 7AM-7PM  1 HMP SATURDAY 9AM-7PM,,,180,7,19,12,1,1,1,1,1,,,,,1,permit,commercial
PS-10F,3 HMP COMMERCIAL VEHICLES ONLY OTHERS NO STANDING MONDAY-FRIDAY 7AM-7PM  1 HMP SATURDAY 9AM-7PM,,,60,9,19,10,,,,,,1,,,,1,permit,commercial
PS-10FA,3 HMP COMMERCIAL VEHICLES ONLY OTHERS NO STANDING MONDAY-FRIDAY 7AM-7PM  1 HMP SATURDAY 9AM-7PM ,,,180,7,19,12,1,1,1,1,1,,,,,1,permit,commercial
PS-10FA,3 HMP COMMERCIAL VEHICLES ONLY OTHERS NO STANDING MONDAY-FRIDAY 7AM-7PM  1 HMP SATURDAY 9AM-7PM ,,,60,9,19,10,,,,,,1,,,,1,permit,commercial
PS-10G,NO STANDING 7AM-8AM EXCEPT SUNDAY,,,,7,8,1,1,1,1,1,1,1,,,,,,
PS-110B,NO PARKING  WEDNESDAY 9AM-10:30AM,,,,9,10.5,1.5,,,1,,,,,,,,,
PS-110BA,NO PARKING  WEDNESDAY 9AM-10:30AM ,,,,9,10.5,1.5,,,1,,,,,,,,,
PS-110C,1 HOUR METERED PARKING 9AM-8PM EXCEPT SUNDAY,,,60,9,20,11,1,1,1,1,1,1,,,,1,,
PS-110CA,1 HOUR METERED PARKING 9AM-8PM EXCEPT SUNDAY ,,,60,9,20,11,1,1,1,1,1,1,,,,1,,
PS-110D,STAR  AVO NYS OFFICE OF CHILDREN & FAMILY SERVICES,,,,0,24,24,,,,,,,,1,,,government,
PS-110DA,STAR  AVO NYS OFFICE OF CHILDREN & FAMILY SERVICES ,,,,0,24,24,,,,,,,,1,,,government,
PS-110EA,CROSS  AMBULETTE ONLY MONDAY-FRIDAY 10AM-2PM ,,,,10,14,4,1,1,1,1,1,,,,,,emergency,
PS-110GA,NO PARKING SUNDAY 8AM-5PM ,,,,8,17,9,,,,,,,1,,,,,
PS-111B,NO PARKING  MONDAY WEDNESDAY FRIDAY 8AM-8:30AM,,,,8,8.5,0.5,1,,1,,1,,,,,,,
PS-111BA,NO PARKING  MONDAY WEDNESDAY FRIDAY 8AM-8:30AM ,,,,8,8.5,0.5,1,,1,,1,,,,,,,
PS-111C,2 HOUR METERED PARKING 9AM-8PM EXCEPT SUNDAY,,,120,9,20,11,1,1,1,1,1,1,,,,1,,
PS-111CA,2 HOUR METERED PARKING 9AM-8PM EXCEPT SUNDAY ,,,120,9,20,11,1,1,1,1,1,1,,,,1,,
PS-111D,CROSS  AMBULANCE AMBULETTE ONLY MONDAY-FRIDAY 7AM-7PM,,,,7,19,12,1,1,1,1,1,,,,,,emergency,
PS-111DA,CROSS  AMBULANCE AMBULETTE ONLY MONDAY-FRIDAY 7AM-7PM ,,,,7,19,12,1,1,1,1,1,,,,,,emergency,
PS-111E,FHV  FOR-HIRE VEHICLES ONLY MONDAY-FRIDAY 4PM-MIDNIGHT,,,,16,24,8,1,1,1,1,1,,,,,,taxi,
PS-111EA,FHV  FOR-HIRE VEHICLES ONLY MONDAY-FRIDAY 4PM-MIDNIGHT ,,,,16,24,8,1,1,1,1,1,,,,,,taxi,
PS-111G,NO PARKING MAY 15-SEP 15 SATURDAY SUNDAY HOLIDAYS,05-15,09-15,,0,24,24,,,,,,1,1,,holiday,,,
PS-111GA,NO PARKING MAY 15-SEP 15 SATURDAY SUNDAY HOLIDAYS ,05-15,09-15,,0,24,24,,,,,,1,1,,holiday,,,
PS-112B,NO PARKING  MONDAY 9AM-10:30AM,,,,9,10.5,1.5,1,,,,,,,,,,,
PS-112BA,NO PARKING  MONDAY 9AM-10:30AM ,,,,9,10.5,1.5,1,,,,,,,,,,,
PS-112C,1 HOUR METERED PARKING MONDAY-FRIDAY 4PM-7PM SATURDAY 8AM-7PM,,,60,8,19,11,,,,,,1,,,,1,,
PS-112C,1 HOUR METERED PARKING MONDAY-FRIDAY 4PM-7PM SATURDAY 8AM-7PM,,,60,16,19,3,1,1,1,1,1,,,,,1,,
PS-112CA,1 HOUR METERED PARKING MONDAY-FRIDAY 4PM-7PM SATURDAY 8AM-7PM ,,,60,8,19,11,,,,,,1,,,,1,,
PS-112CA,1 HOUR METERED PARKING MONDAY-FRIDAY 4PM-7PM SATURDAY 8AM-7PM ,,,60,16,19,3,1,1,1,1,1,,,,,1,,
PS-112D,CROSS  DOCTOR LICENSE PLATES ONLY 7AM-7PM ALL DAYS,,,,7,19,12,,,,,,,,1,,,authorized,
PS-112DA,CROSS  DOCTOR LICENSE PLATES ONLY 7AM-7PM ALL DAYS ,,,,7,19,12,,,,,,,,1,,,authorized,
PS-112G,NO STANDING 7AM-MIDNIGHT EXCEPT SUNDAY,,,,7,24,17,1,1,1,1,1,1,,,,,,
PS-112GA,NO STANDING 7AM-MIDNIGHT EXCEPT SUNDAY ,,,,7,24,17,1,1,1,1,1,1,,,,,,
PS-113B,NO PARKING  MONDAY THURSDAY 9AM-10:30AM,,,,9,10.5,1.5,1,,,1,,,,,,,,
PS-113BA,NO PARKING  MONDAY THURSDAY 9AM-10:30AM ,,,,9,10.5,1.5,1,,,1,,,,,,,,
PS-113C,3 HMP COMMERCIAL VEHICLES ONLY OTHERS NO STANDING MONDAY-FRIDAY 8AM-4PM SATURDAY 8AM-6PM,,,180,8,16,8,1,1,1,1,1,,,,,1,permit,commercial
PS-113C,3 HMP COMMERCIAL VEHICLES ONLY OTHERS NO STANDING MONDAY-FRIDAY 8AM-4PM SATURDAY 8AM-6PM,,,180,8,18,10,,,,,,1,,,,1,permit,commercial
PS-113CA,3 HMP COMMERCIAL VEHICLES ONLY OTHERS NO STANDING MONDAY-FRIDAY 8AM-4PM SATURDAY 8AM-6PM ,,,180,8,16,8,1,1,1,1,1,,,,,1,permit,commercial
PS-113CA,3 HMP COMMERCIAL VEHICLES ONLY OTHERS NO STANDING MONDAY-FRIDAY 8AM-4PM SATURDAY 8AM-6PM ,,,180,8,18,10,,,,,,1,,,,1,permit,commercial
PS-113DA,STAR  AVO SCHOOL FACULTY,,,,0,24,24,,,,,,,,1,,,authorized,
PS-113G,NO STANDING SCHOOL DAYS 8AM-6PM,,,,8,18,10,1,1,1,1,1,,,,school,,,
PS-113GA,NO STANDING SCHOOL DAYS 8AM-6PM ,,,,8,18,10,1,1,1,1,1,,,,school,,,
PS-114B,NO PARKING  TUESDAY 9AM-10:30AM,,,,9,10.5,1.5,,1,,,,,,,,,,
PS-114BA,NO PARKING  TUESDAY 9AM-10:30AM ,,,,9,10.5,1.5,,1,,,,,,,,,,
PS-114CBA,2 HOUR PARKING 8AM-4PM MONDAY-FRIDAY ,,,120,8,16,8,1,1,1,1,1,,,,,,,
PS-114D,STAR  AVO NYC DEPT OF TRANSPORTATION MONDAY-FRIDAY 7AM-4PM,,,,7,16,9,1,1,1,1,1,,,,,,government,
PS-114DA,STAR  AVO NYC DEPT OF TRANSPORTATION MONDAY-FRIDAY 7AM-4PM ,,,,7,16,9,1,1,1,1,1,,,,,,government,
PS-114E,TRUCK  TRUCK LOADING ONLY 6AM-10AM EXCEPT SUNDAY,,,,6,10,4,1,1,1,1,1,1,,,,,trucks,
PS-114EA,TRUCK  TRUCK LOADING ONLY 6AM-10AM EXCEPT SUNDAY ,,,,6,10,4,1,1,1,1,1,1,,,,,trucks,
PS-114G,NO PARKING MONDAY-FRIDAY 6AM-6PM,,,,6,18,12,1,1,1,1,1,,,,,,,
PS-114GA,NO PARKING MONDAY-FRIDAY 6AM-6PM ,,,,6,18,12,1,1,1,1,1,,,,,,,
PS-115C,6 HOUR METERED PARKING MONDAY-FRIDAY 8AM-10PM,,,360,8,22,14,1,1,1,1,1,,,,,1,,
PS-115CA,6 HOUR METERED PARKING MONDAY-FRIDAY 8AM-10PM ,,,360,8,22,14,1,1,1,1,1,,,,,1,,
PS-115DA,STAR  AVO ARMORY PERSONNEL ,,,,0,24,24,,,,,,,,1,,,government,
PS-115E,TRUCK  TRUCK LOADING ONLY MONDAY-FRIDAY 7AM-1PM,,,,7,13,6,1,1,1,1,1,,,,,,trucks,
PS-115EA,TRUCK  TRUCK LOADING ONLY MONDAY-FRIDAY 7AM-1PM ,,,,7,13,6,1,1,1,1,1,,,,,,trucks,
PS-115G,NO PARKING SCHOOL DAYS 7AM-4PM,,,,7,16,9,1,1,1,1,1,,,,school,,,
PS-115GA,NO PARKING SCHOOL DAYS 7AM-4PM,,,,7,16,9,1,1,1,1,1,,,,school,,,
PS-116B,NO PARKING MONDAY THURSDAY 2AM-5AM,,,,2,5,3,1,,,1,,,,,,,,
PS-116BA,NO PARKING MONDAY THURSDAY 2AM-5AM ,,,,2,5,3,1,,,1,,,,,,,,
PS-116C,1 HOUR METERED PARKING 10AM-4PM EXCEPT SUNDAY,,,60,10,16,6,1,1,1,1,1,1,,,,1,,
PS-116CA,1 HOUR METERED PARKING 10AM-4PM EXCEPT SUNDAY ,,,60,10,16,6,1,1,1,1,1,1,,,,1,,
PS-116G,NO STANDING 8AM-8PM EXCEPT SUNDAY,,,,8,20,12,1,1,1,1,1,1,,,,,,
PS-116GA,NO STANDING 8AM-8PM EXCEPT SUNDAY ,,,,8,20,12,1,1,1,1,1,1,,,,,,
PS-117B,NO PARKING TUESDAY FRIDAY 2AM-5AM,,,,2,5,3,,1,,,1,,,,,,,
PS-117BA,NO PARKING TUESDAY FRIDAY 2AM-5AM ,,,,2,5,3,,1,,,1,,,,,,,
PS-117CA,3 HMP COMMERCIAL VEHICLES ONLY OTHERS NO STANDING MONDAY TUESDAY THURSDAY 7AM-7PM ,,,180,7,19,12,1,1,,1,,,,,,1,permit,commercial
PS-117D,CROSS  DOCTOR LICENSE PLATES ONLY MONDAY-FRIDAY 7AM-7PM,,,,7,19,12,1,1,1,1,1,,,,,,authorized,
PS-117DA,CROSS  DOCTOR LICENSE PLATES ONLY MONDAY-FRIDAY 7AM-7PM ,,,,7,19,12,1,1,1,1,1,,,,,,authorized,
PS-117E,BUS  TOUR BUS LAYOVER ONLY,,,,0,24,24,,,,,,,,1,,,bus,
PS-117EA,BUS  TOUR BUS LAYOVER ONLY,,,,0,24,24,,,,,,,,1,,,bus,
PS-117GA,NO STANDING MONDAY-FRIDAY 9AM-4PM ,,,,9,16,7,1,1,1,1,1,,,,,,,
PS-118B,NO PARKING  MONDAY WEDNESDAY FRIDAY 8:30AM-9AM,,,,8.5,9,0.5,1,,1,,1,,,,,,,
PS-118BA,NO PARKING  MONDAY WEDNESDAY FRIDAY 8:30AM-9AM ,,,,8.5,9,0.5,1,,1,,1,,,,,,,
PS-118C,1 HMP 9:30AM-7PM EXCEPT SUNDAY,,,60,9.5,19,9.5,1,1,1,1,1,1,,,,1,,
PS-118CA,1 HMP 9:30AM-7PM EXCEPT SUNDAY ,,,60,9.5,19,9.5,1,1,1,1,1,1,,,,1,,
PS-118CB,1 HOUR PARKING 9:30AM-7PM EXCEPT SUNDAY,,,60,9.5,19,9.5,1,1,1,1,1,1,,,,,,
PS-118CBA,1 HOUR PARKING 9:30AM-7PM EXCEPT SUNDAY ,,,60,9.5,19,9.5,1,1,1,1,1,1,,,,,,
PS-118D,STAR  AVO OFFICE OF EMERGENCY MANAGEMENT,,,,0,24,24,,,,,,,,1,,,government,
PS-118DA,STAR  AVO OFFICE OF EMERGENCY MANAGEMENT ,,,,0,24,24,,,,,,,,1,,,government,
PS-118G,NO STANDING MONDAY-FRIDAY 7AM-4PM,,,,7,16,9,1,1,1,1,1,,,,,,,
PS-118GA,NO STANDING MONDAY-FRIDAY 7AM-4PM ,,,,7,16,9,1,1,1,1,1,,,,,,,
PS-119B,NO PARKING  TUESDAY THURSDAY SATURDAY 8AM-8:30AM,,,,8,8.5,0.5,,1,,1,,1,,,,,,
PS-119BA,NO PARKING  TUESDAY THURSDAY SATURDAY 8AM-8:30AM ,,,,8,8.5,0.5,,1,,1,,1,,,,,,
PS-119CB,2 HOUR PARKING 9:30AM-7PM EXCEPT SUNDAY,,,120,9.5,19,9.5,1,1,1,1,1,1,,,,,,
PS-119CBA,2 HOUR PARKING 9:30AM-7PM EXCEPT SUNDAY ,,,120,9.5,19,9.5,1,1,1,1,1,1,,,,,,
PS-119D,STAR  AVO U S MARSHALS,,,,0,24,24,,,,,,,,1,,,government,
PS-119DA,STAR  AVO U S MARSHALS ,,,,0,24,24,,,,,,,,1,,,government,
PS-119G,NO STANDING 6PM-10AM ALL DAYS,,,,0,10,10,,,,,,,,1,,,,
PS-119G,NO STANDING 6PM-10AM ALL DAYS,,,,18,24,6,,,,,,,,1,,,,
PS-119GA,NO STANDING 6PM-10AM ALL DAYS ,,,,0,10,10,,,,,,,,1,,,,
PS-119GA,NO STANDING 6PM-10AM ALL DAYS ,,,,18,24,6,,,,,,,,1,,,,
PS-11B,NO PARKING  MONDAY THURSDAY 6AM-6:30AM,,,,6,6.5,0.5,1,,,1,,,,,,,,
PS-11BA,NO PARKING  MONDAY THURSDAY 6AM-6:30AM ,,,,6,6.5,0.5,1,,,1,,,,,,,,
PS-11C,3 HMP COMMERCIAL VEHICLES ONLY OTHERS NO STANDING 7AM-5PM EXCEPT SUNDAY,,,180,7,17,10,1,1,1,1,1,1,,,,1,permit,commercial
PS-11CA,3 HMP COMMERCIAL VEHICLES ONLY OTHERS NO STANDING 7AM-5PM EXCEPT SUNDAY ,,,180,7,17,10,1,1,1,1,1,,,,,1,permit,commercial
PS-11D,STAR  AVO POLICE DEPARTMENT,,,,0,24,24,,,,,,,,1,,,emergency,
PS-11DA,STAR  AVO POLICE DEPARTMENT ,,,,0,24,24,,,,,,,,1,,,emergency,
PS-11E,TRUCK  TRUCK LOADING ONLY 6AM-5PM EXCEPT SUNDAY,,,,6,17,11,1,1,1,1,1,1,,,,,trucks,
PS-11EA,TRUCK  TRUCK LOADING ONLY 6AM-5PM EXCEPT SUNDAY ,,,,6,17,11,1,1,1,1,1,1,,,,,trucks,
PS-11F,3 HMP COMMERCIAL VEHICLES ONLY OTHERS NO STANDING 7AM-10AM EXCEPT SUNDAY  1 HMP 10AM-10PM EXCEPT SUNDAY,,,180,7,10,3,1,1,1,1,1,1,,,,1,permit,commercial
PS-11F,3 HMP COMMERCIAL VEHICLES ONLY OTHERS NO STANDING 7AM-10AM EXCEPT SUNDAY  1 HMP 10AM-10PM EXCEPT SUNDAY,,,60,10,22,12,1,1,1,1,1,1,,,,1,,
PS-11FA,3 HMP COMMERCIAL VEHICLES ONLY OTHERS NO STANDING 7AM-10AM EXCEPT SUNDAY  1 HMP 10AM-10PM EXCEPT SUNDAY ,,,180,7,10,3,1,1,1,1,1,1,,,,1,permit,commercial
PS-11FA,3 HMP COMMERCIAL VEHICLES ONLY OTHERS NO STANDING 7AM-10AM EXCEPT SUNDAY  1 HMP 10AM-10PM EXCEPT SUNDAY ,,,60,10,22,12,1,1,1,1,1,1,,,,1,,
PS-11G,NO STANDING HOTEL LOADING ZONE,,,,0,24,24,,,,,,,,1,,,,
PS-11GA,NO STANDING HOTEL LOADING ZONE ,,,,0,24,24,,,,,,,,1,,,,
PS-120B,NO PARKING  TUESDAY THURSDAY SATURDAY 8:30AM-9AM,,,,8.5,9,0.5,,1,,1,,1,,,,,,
PS-120BA,NO PARKING  TUESDAY THURSDAY SATURDAY 8:30AM-9AM ,,,,8.5,9,0.5,,1,,1,,1,,,,,,
PS-120C,3 HMP MONDAY-FRIDAY 6PM-10PM SATURDAY 10AM-10PM,,,180,10,22,12,,,,,,1,,,,1,,
PS-120C,3 HMP MONDAY-FRIDAY 6PM-10PM SATURDAY 10AM-10PM,,,180,18,22,4,1,1,1,1,1,,,,,1,,
PS-120CA,3 HMP MONDAY-FRIDAY 6PM-10PM SATURDAY 10AM-10PM ,,,180,10,22,12,,,,,,1,,,,1,,
PS-120CA,3 HMP MONDAY-FRIDAY 6PM-10PM SATURDAY 10AM-10PM ,,,180,18,22,4,1,1,1,1,1,,,,,1,,
PS-120D,STAR  AVO AWM & FLEO,,,,0,24,24,,,,,,,,1,,,authorized,
PS-120E,TRUCK  FARMERS MARKET ONLY JULY-NOVEMBER TUESDAY 8AM-3PM,07-01,11-30,,8,15,7,,1,,,,,,,,,trucks,
PS-120EA,TRUCK  FARMERS MARKET ONLY JULY-NOVEMBER TUESDAY 8AM-3PM ,07-01,11-30,,8,15,7,,,1,,,,,,,,trucks,
PS-120G,NO STANDING 8AM-6PM ALL DAYS,,,,8,18,10,,,,,,,,1,,,,
PS-120GA,NO STANDING 8AM-6PM ALL DAYS ,,,,8,18,10,,,,,,,,1,,,,
PS-121B,NO PARKING  7:30AM-8AM EXCEPT SUNDAY,,,,7.5,8,0.5,1,1,1,1,1,1,,,,,,
PS-121BA,NO PARKING  7:30AM-8AM EXCEPT SUNDAY ,,,,7.5,8,0.5,1,1,1,1,1,,,,,,,
PS-121C,1 HOUR METERED PARKING 7:30AM-7PM EXCEPT SUNDAY,,,60,7.5,19,11.5,1,1,1,1,1,1,,,,1,,
PS-121CA,1 HOUR METERED PARKING 7:30AM-7PM EXCEPT SUNDAY ,,,60,7.5,19,11.5,1,1,1,1,1,1,,,,1,,
PS-121DA,STAR  AVO TAXI & LIMOUSINE COMMISSION MONDAY-FRIDAY 7AM-6PM ,,,,7,18,11,1,1,1,1,1,,,,,,government,
