"ID","Code","Description","season_start","season_end","time_max_parking","time_start","time_end","time_duration","LUN","MAR","MER","JEU","VEN","SAM","DIM","DAILY","special_days","restrict_type"
167,"SB-LI","\P 19h-20h LUN. JEU. 1 MARS AU 1 DEC.","03-01","12-01",,19,20,1,1,,,1,,,,,,
168,"SB-LI-A","\P 19h-20h LUN. JEU. 1 AVRIL AU 1 DEC.","04-01","12-01",,19,20,1,1,,,1,,,,,,
169,"SB-LJ","\P 12h-13h LUN. MER. 1 MARS AU 1 DEC.","03-01","12-01",,12,13,1,1,,1,,,,,,,
170,"SB-LJ-A","\P 12h-13h LUN. MER. 1 AVRIL AU 1 DEC.","04-01","12-01",,12,13,1,1,,1,,,,,,,
171,"SB-LK","\P 12h30-13h30 LUN. MER. 1 MARS AU 1 DEC.","03-01","12-01",,12.5,13.5,1,1,,1,,,,,,,
172,"SB-LK-A","\P 12h30-13h30 LUN. MER. 1 AVRIL AU 1 DEC.","04-01","12-01",,12.5,13.5,1,1,,1,,,,,,,
173,"SB-LK-A+F","\P 12h30-13h30 LUN. MER. 1 AVRIL AU 1 DEC.","04-01","12-01",,12.5,13.5,1,1,,1,,,,,,,
174,"SB-LL","\P 07h-08h LUN. MER. 1 MARS AU 1 DEC.","03-01","12-01",,7,8,1,1,,1,,,,,,,
175,"SB-LL-A","\P 07h-08h LUN. MER. 1 AVRIL AU 1 DEC.","04-01","12-01",,7,8,1,1,,1,,,,,,,
176,"SB-LL-A+F","\P 07h-08h LUN. MER. 1 AVRIL AU 1 DEC.","04-01","12-01",,7,8,1,1,,1,,,,,,,
177,"SB-LM-A","\P 13h30-14h30 LUN. MER. 1 AVRIL AU 1 DEC.","04-01","12-01",,13.5,14.5,1,1,,1,,,,,,,
178,"SB-LR","\P 16h-17h LUN. MER. 1 MARS AU 1 DEC.","03-01","12-01",,16,17,1,1,,1,,,,,,,
179,"SB-LR-A","\P 16h-17h LUN. MER. 1 AVRIL AU 1 DEC.","04-01","12-01",,16,17,1,1,,1,,,,,,,
180,"SB-LS","\P 13h-14h LUN. MER. 1 MARS AU 1 DEC.","03-01","12-01",,13,14,1,1,,1,,,,,,,
181,"SB-LT-A","\P 14h-15h LUN. MER. 1 AVRIL AU 1 DEC.","04-01","12-01",,14,15,1,1,,1,,,,,,,
182,"SB-LU-A","\P 17h30-18h30 LUN. MER. 1 AVRIL AU 1 DEC.","04-01","12-01",,17.5,18.5,1,1,,1,,,,,,,
183,"SB-LU-A+F","\P 17h30-18h30 LUN. MER. 1 AVRIL AU 1 DEC.","04-01","12-01",,17.5,18.5,1,1,,1,,,,,,,
184,"SB-LV","\P 07h30-08h30 LUN. MER. 1 MARS AU 1 DEC.","03-01","12-01",,7.5,8.5,1,1,,1,,,,,,,
185,"SB-LV-A","\P 07h30-08h30 LUN. MER. 1 AVRIL AU 1 DEC.","04-01","12-01",,7.5,8.5,1,1,,1,,,,,,,
186,"SB-MA","\P 08h-09h MAR. JEU. 1 MARS AU 1 DEC.","03-01","12-01",,8,9,1,,1,,1,,,,,,
187,"SB-MA-A","\P 08h-09h MAR. JEU. 1 AVRIL AU 1 DEC.","04-01","12-01",,8,9,1,,1,,1,,,,,,
188,"SB-MA-A+F","\P 08h-09h MAR. JEU. 1 AVRIL AU 1 DEC.","04-01","12-01",,8,9,1,,1,,1,,,,,,
189,"SB-MB-A","\P 08h30-09h30 MAR. JEU. 1 AVRIL AU 1 DEC.","04-01","12-01",,8.5,9.5,1,,1,,1,,,,,,
190,"SB-MB-A+F","\P 08h30-09h30 MAR. JEU. 1 AVRIL AU 1 DEC.","04-01","12-01",,8.5,9.5,1,,1,,1,,,,,,
191,"SB-MD","\P 09h30-10h30 MAR. JEU. 1 MARS AU 1 DEC.","03-01","12-01",,9.5,10.5,1,,1,,1,,,,,,
192,"SB-ME-A","\P 10h-11h MAR. JEU. 1 AVRIL AU 1 DEC.","04-01","12-01",,10,11,1,,1,,1,,,,,,
193,"SB-MF","\P 10h30-11h30 MAR. JEU. 1 MARS AU 1 DEC.","03-01","12-01",,10.5,11.5,1,,1,,1,,,,,,
194,"SB-MG","\P 11h-12h MAR. JEU. 1 MARS AU 1 DEC.","03-01","12-01",,11,12,1,,1,,1,,,,,,
195,"SB-MG-A","\P 11h-12h MAR. JEU. 1 AVRIL AU 1 DEC.","04-01","12-01",,11,12,1,,1,,1,,,,,,
196,"SB-MI","\P 06h30-07h30 MAR. JEU. 1 MARS AU 1 DEC","03-01","12-01",,6.5,7.5,1,,1,,1,,,,,,
197,"SB-MJ","\P 12h-13h MAR. JEU. 1 MARS AU 1 DEC.","03-01","12-01",,12,13,1,,1,,1,,,,,,
198,"SB-MK","\P 12h30-13h30 MAR. JEU. 1 MARS AU 1 DEC.","03-01","12-01",,12.5,13.5,1,,1,,1,,,,,,
199,"SB-MK-A","\P 12h30-13h30 MAR. JEU. 1 AVRIL AU 1 DEC.","04-01","12-01",,12.5,13.5,1,,1,,1,,,,,,
200,"SB-ML","\P 21h30-22h30 LUN. JEU. 1 MARS AU 1 DEC.","03-01","12-01",,21.5,22.5,1,1,,,1,,,,,,
