name,operator,address,description,lun_normal,mar_normal,mer_normal,jeu_normal,ven_normal,sam_normal,dim_normal,hourly_normal,daily_normal,max_normal,lun_special,mar_special,mer_special,jeu_special,ven_special,sam_special,dim_special,hourly_special,daily_special,max_special,lun_free,mar_free,mer_free,jeu_free,ven_free,sam_free,dim_free,daily_free,indoor,handicap,card,valet,lat,long,capacity,street_view_lat,street_view_long,street_view_head,street_view_id,active
Complexe Desjardins,Vinci,"185, rue Sainte-Catherine Ouest",,"0,24","0,24","0,24","0,24","0,24",,,9,20,,,,,,,"0,24","0,24",9,10,,,,,,,,,,TRUE,TRUE,TRUE,FALSE,45.508082,-73.564048,1050,45.5083677,-73.5640834,163.21,nV9ZRxZ5kdX70J0HzOgkoQ,TRUE
Concordia L-B Garage,Vinci,"1455, boulevard De Maisonneuve Ouest",,"0,24","0,24","0,24","0,24","0,24",,,5.5,13.25,,,,,,,"0,24","0,24",5.5,6.75,,,,,,,,,,TRUE,TRUE,TRUE,FALSE,45.496392,-73.577932,200,45.496218,-73.5778287,33.76,X1k-6y1DqgA0aFmPPRq1Kg,TRUE
Dominion Square,Vinci,"1199, rue Peel",,"0,24","0,24","0,24","0,24","0,24","0,24","0,24",9,23,,,,,,,"0,24","0,24",9,16,,,,,,,,,,TRUE,FALSE,TRUE,TRUE,45.499628,-73.571707,465,45.4994782,-73.5717659,350.64,Mld1hhh-6umWjb3vequrPQ,TRUE
Faubourg Ste Catherine,Vinci,"1250, rue Guy",,"0,24","0,24","0,24","0,24","0,24",,,7,13.25,,,,,,,"0,24","0,24",6.75,6.75,,,,,,,,,,TRUE,FALSE,TRUE,FALSE,45.494659,-73.577378,260,45.4948213,-73.5773873,179.54,WBcWH6_ptT9QzSOO_efX9Q,TRUE
Forum de Montréal,Vinci,"2313, rue Sainte-Catherine Ouest",,"0,24","0,24","0,24","0,24","0,24",,,6,20,,,,,,,"0,24","0,24",6,6,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,45.490289,-73.584233,200,45.4904152,-73.5840303,219.03,BmrE6NuAo_uyzsQJCrQvaQ,TRUE
Gare Centrale CN,Vinci,"904, rue Belmont",,"0,24","0,24","0,24","0,24","0,24",,,9.5,22,,,,,,,"0,24","0,24",9.5,10,,,,,,,,,,TRUE,FALSE,TRUE,FALSE,45.50027,-73.566723,800,45.5005203,-73.5668393,175.65,-XQRXsNSGJVZtQ3IYinY_w,TRUE
Gauvin,Vinci,"700, rue Saint-Jacques",,"0,24","0,24","0,24","0,24","0,24",,,12,14,,,,,,,"0,24","0,24",11,11,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,45.500204,-73.561001,85,45.5003885,-73.5612018,180.77,FNdLZ7HZyvcXSi1x90NdLQ,TRUE
Le Demetrius,Vinci,"1445, rue Stanley",,"0,24","0,24","0,24","0,24","0,24",,,11,19,,,,,,,"0,24","0,24",10,10,,,,,,,,,,TRUE,FALSE,TRUE,TRUE,45.499902,-73.574521,79,45.4997955,-73.5745955,71.35,O3_9whWC8EOZFvxtCvQhGg,TRUE
Hit,Vinci,"930, rue William",,"0,24","0,24","0,24","0,24","0,24","0,24","0,24",10,10,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,TRUE,FALSE,45.49606,-73.559874,300,45.4962255,-73.5599834,161.47,4RFpT7JUN96skrli4T20gA,TRUE
Hôpital Louis H. Lafontaine,Vinci,"7401, rue Hochelaga",,"0,24","0,24","0,24","0,24","0,24","0,24","0,24",5,5,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,TRUE,FALSE,45.588212,-73.528526,2500,45.5875077,-73.528558,340.12,I-JOpC-wGywls0W8Evwzhg,TRUE
Hôpital Maisonneuve Rosemont,Vinci,"5345, boulevard de l'Assomption",,"0,24","0,24","0,24","0,24","0,24","0,24","0,24",10,16.5,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,TRUE,FALSE,45.574281,-73.560587,2331,45.5736565,-73.5603958,354.44,2m_djoJOMythl7GgPKZUqw,TRUE
Hôpital Sainte-Justine,Vinci,"3175, chemin de la Côte-Sainte-Catherine",,"0,24","0,24","0,24","0,24","0,24",,,10,25,,,,,,,"0,24","0,24",10,11,,,,,,,,,,FALSE,TRUE,TRUE,TRUE,45.503447,-73.623442,1205,45.5035679,-73.6231042,256.42,SiDXcroE6RB78nIL3rdNiA,TRUE
Le Westin,Vinci,"270, rue Saint-Antoine Ouest",,"0,24","0,24","0,24","0,24","0,24","0,24","0,24",20,20,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,45.503588,-73.559757,175,45.5041338,-73.5595337,77.16,SpfEKJ8QD6QqSmNbDYnROw,TRUE
Novotel,Vinci,"1180, rue de la Montagne",,"0,24","0,24","0,24","0,24","0,24","0,24","0,24",10,28,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,TRUE,TRUE,45.496845,-73.573183,100,45.4968623,-73.5728997,274.8,Eth8pXruBeA6bS74zk67Cw,TRUE
Place Bonaventure,Vinci,"800, rue de la Gauchetière Ouest",,"0,24","0,24","0,24","0,24","0,24","0,24","0,24",10,22,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,FALSE,45.498629,-73.565683,750,45.4985274,-73.5657981,2.9,UuSRZ_0WOIHUM-Aezpq8Kw,TRUE
Place du Parc,Vinci,"300, rue Léo-Pariseau",,"0,24","0,24","0,24","0,24","0,24","0,24","0,24",11,20,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,FALSE,45.511144,-73.576387,890,45.5107538,-73.5763864,359.98,P1J_BYJqpbqytzqIifoCCw,TRUE
